,Quizzes
112,300590068080000290502010400410050800050326000009000070034000080801004600620007301
113,000004001600000230350100079015708600900030780008090102090002054000079800400510020
114,006030010300605000070029000020300984794000300000001005530008200069047000041200590
115,059000201000800090003107004290000305000080460160205080500003100400060708037400020
116,835020041020000039040810000086900000201004700900000286000356007090040300500007010
117,050007460009032007002406300760080003300091870400000015010200000506170008084005090
118,004930018805000000090040070302057000000100064710890005009060000431500000060489032
119,063204105040003092000900080530090800100060007004007300310870060270105000008002050
120,900860004020005000850793000570080000091407020000000350080600139006000842000230060
121,900260000207008005015090400700006000050010003080934071106000000320000087070420039
122,001000004803200009020406307016003090700001800084520700400090500050060020009780041
123,000079060002005703180020040029601000700250018040000300000003091390400607605080000
124,500700029600015840080940003002000016904000050760001200830207090090080072001030000
125,080290600600400039300750021070000008938040050002009007000600740050008103016020005
126,609203580570000004040010090800006400000300050000079103021090700030480905000702600
127,070000000950002800010890034007000198400369500002070600008036057000021000065407010
128,009586400027900500006004100940301020003065090070000800061200007500630080000009350
129,008602000001700430470005000000451003302000008060000970200094610600507082713000090
130,005960070400031020106705008900408060002013800058000000200096007007020615003000004
131,780010300000960500005002640007300064401000002800001730092750008350000970100604000
132,050107800041000000690040503300802090904015030760030105000000749170006000008050020
133,370401002000087500001593406080100009016000300700920010009050640250008090400300007
134,006439008005000200090580076000245100018007000300000907902000730087600450040901002
135,820090304005020091070035800600007028904060000007009005030001000090240076006050210
136,029000580600320407100800000000060301071004060000230090004650009783010005590000072
137,000000200007456000301007000980010063000305940402700080008000007600091520204600890
138,100008500000307089700600200090050103420060970350200040002000008000409610600570004
139,701020080000010004090305000009800240160070000520904030000002090083106507050407608
140,800000960070590003003208015002304008001082000006000470040009300030051020500820609
141,290000000104050680000048903901874000006000050803020100075010004600000230080039006
142,001405000780031050000080009027800010040000620690200570004007300503690240010003800
143,047000090005200816120056400000008007591004300803001000000639500200470008309080060
144,910080030046290100000007004000300051120040869654000020370500080000600003002901740
145,000470800200905410000000030701000380045007900680030025000009106093042070504080000
146,034021560100800000600070300500010090068009000002700634087006002200500403001094800
147,003002050007890001006005900510060048009040700040531002080000004200109806361700020
148,000380109012095300060200008059000230406020070700040900301907600080604000000000051
149,408020106060409520090008037700300015003040000020657900910000080504013000076000200
150,073082001052009300400050970090760108028300006001200000500000000869030040037000510
151,001307005000000098907406102400205003030000609082100040000902304208670000500014070
152,020400017050000463008030000009726040604890021080003050090500670700900000105060009
153,000013000200675003060000400000006090092000708580040132009080050305902001041030600
154,503960800042007090010000706000406000200003050000500103007190602400308900800000045
155,090000080000402030700050900609200004500870301307040000400089620030001050005030807
156,243705100060094005000001820700316002402000030500007900001500006600870590090000043
157,800510240400900000056000080075001008010004076900020030001705093080060000004103560
158,001530400000940006302708000580200004060003052100000870070080923800400605000095008
159,020304906800009050054618000308500070070403005019000000001000003700000824006872010
160,301002000080004002074650010960000008000021350500003407407005200000400839006010005
161,003802750270501000000070960630028100000000040809037500700900800054000210010043070
162,070000168104200050000580002030009040000600005490010830900107000006930021208065700
163,000000590036804200700021000000430002085009700604107089400700003107000000290605108
164,037021800000080900600000423159000007004600002200710500005034086080005310020960004
165,010004078704900006000013000580000201091065830400120009600007000000290500839040060
166,209000340040000001607005089170540600030820000005003090058310020000002570406007800
167,050002034000706900800310600003000010027083400009070250060900720900065008000140060
168,007300850500082609080150004300400076010098000420000510000206000030010400160907003
169,543000000000700900900680150001500042307001000458032010800120009060004000000096730
170,070000005206007010003094080000859300050020600001006204400000102732100009089300060
171,000630090204005070130000040009150004080960200500207060060002057008400001700091300
172,900106005020839000804070300001050090032001607006000084000300040007002910060097002
173,047052000000900070102000003200400800503006091098007650600013700000800019004720580
174,000701006015000000784900002190048060000300240072010090300560700027000085500809300
175,009040601070000050013600008908002000300075040700100836004006207650008103000910004
176,649108050800206000050000001960000200038000040205070906007300509000709003100420860
177,000800000700040560563100090400300007050009002618004000000208304000060700290530180
178,000102008005040970900670104364009000087301020000700500230050700051008006000200390
179,000900803103500002002070560005719030300004000094002006800060709079080610520100004
180,003000500075361020080070040002053070006804013100690004090080100001002090300500406
181,096380005050001003000074080700010038009000104063700090014060200905023060008009040
182,004039007000604000513082060071800504040070020020003080690000008007000300008100952
183,407200500085007032000409060002030805001800000600010924856000040020000007170900306
184,108000046000205900000800001030000500502394070040007029600501007709480630085009010
185,100040500953060004008970000200510670007008003000000120060400900080650210500327006
186,000209008040000769680100500300010007576000980000005230002403000053870002090600014
187,900620405032000700000803090007100206800040910090035000280007040056010080013900607
188,040007502021000003003005680200090014107060850090300000300070020400800906006009408
189,083000120000203050400010060098020400640309700005001200009640083030000000206807001
190,060305009040000571102000600201030000005000804830076090006084300907000020080107050
191,014300020005006009000700810000000260100280745500040081027100000609020030830907050
192,009080040200000008000604501380700004067005000500003012050100096400038070070200403
193,002003080400280007050006091900065100140020760000700800000890025300104600570000004
194,300000002802901670090700805005002004601074200009608000010045000070800001064300950
195,906073000580000400030002001050089600008200503400610700820700050040000309000196008
196,500012480000900000006080027080093260000800000432705100060000970027300014014009506
197,004000602560200840000009005010054029092380000000001470000832701600100000800746903
198,400056030010903800500040020000008000020305087009071460680704095200010300073000100
199,008500300570000090000200106090360002084005009700018543040076000000093201960000780
200,863027000050100840009050000000940010520001007930500200046000920000038400287090500
201,005004800060070210700103000800602400030800190904500080003000075609028040417009000
202,000000490030006027107003500602045070040618009090007000009200735380004000001500060
203,100020900590100704006000500608000007073890000000403206309050820027001003805600000
204,000004603050760001410085000000610902863420000020007000035070280702000010084001390
205,004003080100670302700020000200068700001390500090500218003705004080000951002409600
206,000800700029000510035420009010007006092004070480360100006150307000009468000200000
207,050730100020860304760091050070204008090000005301000400000670000040009063012500089
208,490107300087002009000050060100600802500300000009040070050700043806020910002014005
209,001005700720806003309000180000640800800020004065001070008703950100000030070094020
210,010403009506000080009780052032004000960000400000021703800030260007500001000067805
211,010009600006700019280005403100400290007063008005000006630001020402350000000048007
212,430700080020065103000089540700940000251803600006200030104000057000000800060107009
213,006000008070004600130609042019000030020350080080702005090500716400020003703080900
214,030200570000300040901047008002003087080600000056010239800020400400098005017005006
215,240009000053008021007060805000034008030900704190000600700016003001200406000070200
216,078009050500607042900310008090704080300000000846002130000000520130006070060928000
217,061400900802500047500609000980007020200930780010050003700004100009080260026001005
218,000073000180200590430000006010062750000508030200400900090030610645100020370000089
219,507020400008006010302894600800009500150600708003100006470008950000007020209040000
220,059800470001003020600007100010000050020068000004102908300605740070300080060094032
221,050028010070901040000034729002305400708000500300400976800603000500000000094210300
222,206709013409006070050004800803000500100623000004100000000570392700008000001940006
223,050390700784050002006200010000016098490000350028000000210070080060009540007803009
224,082007000000500942095103000000060075061004280079001030026040000814072300000000007
225,090806350200900100085000700600052904030401000000090070760018000100207589002040000
226,093705600002800000000012000001020584760080001200400090000950107100000340456003920
227,305740000000601005040900000800009056602070001904305200470083900090010087001000630
228,700300000901070064560004209010000005027800010090640820004709601008005000000210503
229,206008001140700309090050026002000004503401000060370800078009140050087600009600500
230,060005890090000210501070060002401500035002000004009008000200004806500130217003009
231,400010020502600704703005860000008043000024901007061000036002450800090007105080200
232,400000091000583600800000050000000907100068400207491300302850700080100062069047000
233,060740000045063810302018000630005100004070029078009006100000503900280040000000007
234,100004800030702106846903050000600209708050030004008070900100005005000367027400000
235,002000809050076031003005260008700016060050700130900042005000984080040000001302000
236,300029004009310207000084030001000000695470000200068000103096500800002903040500061
237,500063017001008050690000400000057304032010800000206100008001702973080000206004090
238,100650370024001500060900804000460000301000700280000090659830100007000020000749050
239,000014000060590007508006012129000030700201080005430000000060403093008060200740100
240,000095001008400039720010006900150000070800190003006475081600053206040080500203000
241,030000190400607002006095400900003800061280050720040300150002600800400007000130940
242,000000010607004090520730000050008402940503006103000700000019643290000000060457008
243,506700000010200087200034010605073901000809003040052700850901340900605002100000000
244,018259063927004000000000000209700650301806070040001098035010400002000007000060580
245,004009061500300007031080409700650100610037005000940002068295003100408000050000200
246,090008300040206701001079084008000020006000579500430006360982000072064000000000050
247,000075038403006700010000009000380024640019000007402005529000007360008100008903500
248,100000000050009008704620500500080634000365020000007009006200000891000300320400761
249,000040008005317200902005003000030017400000060069004002070090080803006500106280090
250,072005600040820000003409500060000130000152007800700024019003280035070009000600000
251,010007309000025706300000050008902400400036021070800603905080040780040002006009000
252,002600004700010030014050690006084250380006007001003000400700089090005300000200401
253,069805204008420007001076005020004019680501000000030800053900070000000092400768300
254,740250600900003000030106047050480020009007036002009580000360410805000000300802070
255,000032050093000000002150870008504000461900000930700620000840507706000410100006308
256,005800000300000716706200000003084090000760842000005100420017000500000420019300080
257,015060892060070510400090000027500109008000003301009650079640020000030007800200060
258,300709080020406035510020007901004520050007090804000006003005108207800300000903640
259,379000100001709000020850300010026890000003460208900030106002905540000000080000746
260,003647905008002004000093006300010400900000820200084073800000090716500008040700160
261,108305690020400031500096700200830070613004000040009000050000002000700085309060100
262,980200004024006850003070100000509000005020687136000020000080405007030000600714900
263,003000002000201090006487050040596000158000300907300024009070006805900070000842000
264,900000512000659800080000070400000300030001027020740685503002100260980004070306000
265,067000010001002007003108204020000906400003000739050080000060502910045600008729003
266,050100000084500007000063089100002348200700050640090000000014003007200490003805601
267,006800000000049013100002705432075000900080024000600370610007290003000100709500406
268,012500400070001030809046200050900008300000049008072060004307090700085610000069005
269,000025600006800075902000003009200000310004008068507049005460007470908102000030800
270,900002081305900000004001057508190003700005004000060028800240700690380010070000060
271,030810005000020134096500700708100029002000506000430000500604008081009267079080000
272,032005014000080500590004027003050408000620009150400370040807900800132000007000006
273,000870001937000500400600000000280130070046000305190620063020905702500048100000700
274,083104060400250008500090000020000057650800901010067030000320000039706200700000014
275,030001060500084310209050807600803100804090000020000070305710000700600080960540002
276,050001060930570040108000020000100790002340000607000008001239005703608004560000200
277,000900010007200603025180400092400068064003050000000907000802100003070006050069720
278,100020060090780503052000009000600790730090008008500002500104030020009015604003080
279,041980006300042008020760500109400000674050001000000070710300060005800900806175030
280,500010000730009140040200306029801000000700013000000204090007605004600872650380090
281,160500207004080000300700560080193000090004081000000706703008050052400109006302004
282,060032500070000100018745036600008009930560001002010400084600090705009000000007023
283,050009730003000204942060100500208003100640000007003600008900067420010309090800500
284,807100005000040019096007002004050100019700026200300047905420000030060000060900803
285,230010809009500041400083002070020960000005700186704200705001000010000003042600080
286,002130640901007008060502700009000305500073000180400200300060050000080406007905001
287,061000003200094070005021060000002007809050300070030904180040005506780012003006090
288,005187204006400305010005090001600000508030047020900180009000000080020476704803002
289,040690500300000200610004807000038020000050760124970300098560070000200600030001004
290,700030094006000000500400801632008000070609500000014720004802010260950030100000065
291,003002007080000510700000600200450903039007000501080000090870400400620709650904008
292,000415000006800000000007039080720160000000203590031400003004786701902050408000000
293,003000041020590700680204005019380006300029000450007980000601070070030510200058030
294,009705004407003610800006090053900070000302108602001000030684207040000900008120300
295,060503009002900401010084030087000042009006500200000170400178090500030000300090268
296,050620009032970004001080730000009800008740900410500006690004028003000610000002007
297,800021049370640010000900005000008100092470003650002070540300002786050400000000600
298,700069080068000030004002050200045008003790406010030900007000500931004000040126700
299,010080070307200004090306020600001030001859002482007091000000000078500003003048760
300,006007800705000001010539040420000097000860400050904102031008200000620079007400500
301,008310040460005900012900708000000512850092000070036000703800069080040100006020305
302,910000006700030240052670309000000538000280100060014900528700000090803000100090400
303,000800100000260400580090076004020089060300701975008600639070000040003950008001002
304,000807300000001072006290080000400500100020837530709020714006000960003400850900001
305,800400006001906207507100490023090001000000640040058003908507000000300810006001002
306,090000060570080004400005012150904200000006380030072400960700100800200007040153090
307,470050390006040020002000180000620009051430002000105007300700640080000000910360050
308,009807062004050039070200100010040020060080590000612800800309070026001004500060003
309,940003058000021000003005074410000980890602300000900001100050006060048027085300000
310,060070005280006403001402709000801300026004080300050004050009100049308050073620900
311,000640700907500041000000082309010800240056000060038905400063000803700010120004050
312,902000000063040900000670308400007005009820610076300200500092004017000503000150080
313,051004090870000416000080005006903020002050074940710000369000100500600700000205308
314,700230016080001700500700490600003900090040050320800007002100008407006000013902500
315,900304001000021890021580007402806005570010000030700914090030706800005000040000250
316,720800000004100097500009400000603802087000300061702904050030210640050000000960003
317,040010503000004000037020809205907038004103600600050070006809100000000702870045090
318,400036085600920104300008720095000000000170402000003690070091008020000560160540000
319,420070603500230040010006890003809207000017000605300000860002015039000006000400028
320,301640000008902673000000015080500704200791800059060200007004360090180000620300040
321,006120780730400000000008305200000050350074801007609004190300026000000090082010500
322,700001000320000419000060050009620304600000820075004001040000080817503600002907000
323,900010300105700008036050204094005001007832000800400007580300490472060080060000002
324,100200005003070090982003040008540926006109007050800030630010800240000079000720400
325,001050948700600000035240100890400705170030000020009086000706030000584020080010000
326,030042070940006800260801590803010700005000600090070013600000405002007080100295000
327,300060010102008009009210405596007003000400020007030008008049070003100860004500302
328,078010060400500908000000374207083050195200007600090001000370126960400000000028400
329,001907002062004003030005800390786050000020470800500009140600900050108730003000006
330,200800900070006008340002600810630000700980104004201050400050030032000070069007401
331,010600005030090740407003900050400090000032000700800206009005008520061003004207500
332,000400706030082450051700038500000070009300020048001690300090500020614000607030901
333,016000004009203080500190070030576000401002090087000302200307860060900507000041000
334,300070000006803005174690002900408030085000000010007940000021754000000600730004891
335,508104029000069710000000300009200060004500070726480050905008000080320100002071004
336,001000026000108003790040500302760000005400039460031870510600047000000200040970010
337,401007309000051008067080200059004030803025700200800005740600080300010090090703006
338,000308074200500080004072090002780150051090000030600408000006703190400005560001002
339,098100004007006500300070620040003000200810053005907840060030010010602709704000030
340,408020600920700130760504000000000008040619720210005400000007006000290083059043070
341,602054900000700000130600020063500401709400008201069070000010509024300600500007800
342,050379600960000000070002403007020058810004020000056000090000015002040730000985200
343,053021800090003010620780030048000976007800003002000405000600090080357000010940200
344,001090200090540038000700056004607090800253000607080001103000472400030600020800500
345,000010026801006003009503004904300087203700000060028000300980500152400600000000402
346,940103052030000006650780000300008410075009260000200907000040009020010870080306540
347,062030710790080046000000900040002090605000030900150820400800200003014580800507000
348,020360000600004708805019200000052800000000496007601000300080104290007005510000030
349,001026048045800200070000090004090860306002070190030000000241000007900514003058006
350,040009500500070090000003820014200000802060100760004030036008040050902670007540019
351,040109027056000080197050000902700350018603000300080060000301209001208600400070000
352,000000900570900020200768530080020060000300708640095000910002600702410090803000001
353,710080000000002507408390000006230008040001090905746320600003040800560079020000010
354,390000400000081720002000503000764050140800600900025030600500307700002090013009086
355,007004600800910000940008035002300840003065700060481002000050400091602007650070901
356,204670100870400003059010204300026095000703600180005002000004509908000010060800300
357,019030000006507108020160473000410000005000600431790020000003209267008050800050040
358,009000800050026001281490006000380000600107300008005040000000910304702050000904730
359,700980001000614300840000500300062007080040000056803209009000802012490060000300050
360,070006012009030564804001300007010900300002005200648700050700400000080009402000103
361,091560270200908000060040008400807060950300000006094003580001042002000301307000500
362,800070050090123040004900002480000020901300760067010308300000085520040006100006009
363,506409100080000090340700602000002030030048005075010209100603400008020063000090570
364,200400508003000097054001600005618320002000084910000700300859000067030900020160000
365,800006005003204170090170000002358090000000000400702036007003051510490380020060940
366,807000400300050008000020017460900020008300050509071300901237800705019200006040000
367,010800040090053000807010006009460020050300610031080407570000031008000200000297005
368,020304007305700260000080090970060530000105700003020081002006000006049058154000900
369,100900028030500060590001407080043000207600001000002980320067005050308640400005090
370,329000000060003170000080049100207800004900250570008016050020480083406005000030020
371,400317200206000100708090005007000504100509083000084601009800000300041000860205940
372,007540030016090007900002850300205198020034000060700000490300702000010403008006005
373,000000000045018003090740810003000091600980240000260700406570009010004000280036070
374,001000600300002458500600070096701300203058001000000240007004500040307029010086000
375,000007050014200760070060009003051802092003405700480003100390200030040001065008900
376,007096080020300100010200563000000240700500000083000607978024010500901000002003804
377,040000870700190060005300402073050001180900004596002700000040523000030000609508100
378,900600208610802350000400070850327004406005010000000000008010690007090002030740080
379,020139040060040800300000090905012300080507000601900700700000084538000120010750006
380,000100070057204900804060000400003569009010020528600400006300005000070080130980002
381,000070000302500018910000300040102000891050020000003470006204057000800104580006900
382,417000060309050000000001000002086001090502040800019053006000087003270590008300402
383,400680007000041502100007006780050010602000308034000060070860495053009000000210800
384,201009067906320400003704900005198070700000006402070003830000020020410005000800640
385,003000802406010500890002070009265001008309040075004060030000000010057094500603027
386,270000180083005904640030002000001400390000816800009050000060300010820790507010020
387,200800054038071900000002300020000010000046009096507800067030080480010500300600290
388,800200507060017340090003100070000032020100950004008070042030089001040000600752000
389,000763500000100694008040000085020000710030009002006801900800060500094270073002045
390,800009070705020030010600004038000057090147000006800201900310600050904000240005380
391,900200060000071800041506200008000400032004916060300005250089003000703500009410007
392,050000090904008673003790001680002050009100006005073000140800000007006032800527040
393,004800063100537000029000800000052046003010905200040780570006200008000004060391500
394,002005009100670000050012840900100300081403060007520000000806035230000100845000970
395,300070208290308016015006040053020401000160005000704600081000002000005780704000003
396,004359020010600000203000640100000304095210708006040002300500080082006095009107000
397,005204060000060980001000003710402800600003009003008041070806005304100000890070200
398,540806000030000000008419020026790104001200600890000053065070009000104760004000508
399,700038042020007109030060000800000050007003214051900063009810006400006085500002700
400,300010008050000047097530010172800600960050400000290080080120509000000030640009100
401,100090256062007008480030000000700030304001805050046079003170000890400000040205010
402,000072008859600000040005100003060204100040096006300570070108430900720010508900007
403,000009300000000498130820006007006000082705003016902540400650810270001000050030900
404,005200060049080105670004900800070450051006000003091800007400010900003082260005007
405,105000278000307605400005001002000703680004000000800100700500306803102400509060020
406,600090040000108000085027306050000009463500002700201004107650090820000050040903070
407,070208000091640800840001605020050004500070080100904037209300010060400903000060700
408,000610080003000201045290000090800040071000050400006320000904003630085010002061075
409,630050710001400002008109600000007000002800096900020508009501200080002030507036400
410,020000049907000050003040781806700500004020000500030174030980610200073000080601003
411,960007413400006970070200080005010200183500690000048000620080045030700000819000320
412,051002007003140600200503004020084700987000060000950100006200500308000000040710089
413,005000216842006003300000080090002005000607920010305068036520000000804000700900104
414,000802013635709000100000095009305000780200000051000840000906028002004050097000061
415,890050001006207800041090650600000002500630000010728030702001093004380010000004000
416,900006014000035000832000090060059007007020139400000200020001708740390500006048000
417,003047100560039070200800043008010700420000006000000589030060002150004090007502800
418,506800000080002307027000009000304000700090001030018405900045100410000952200130608
419,463800000000000002079040801001005904020076030700010008910052003580430700000060050
420,053900040800170020000030100009020501000784090680000300501006702930000008700040650
421,400005082000130400600000507000598700001320000985070060004089320530604800097000010
422,030048209000360080070000053420050000307002561900800470608200090200910800040000106
423,000076490000000052197000006302601000500907060080240003730050910008400020014009300
424,003009070600030005104700800005000090809026300700001406040050031080600240301907060
425,700600540000013000085004010067300004520009870010020960000200008840095600003001702
426,760400012900050300045800006001008079400000208030270000080001063270006140090300007
427,700409000301600040020080005010064003930710680000850070504000308000207009260030010
428,081605700009130006400078000003850000048790002650040030960000140030012089000300050
429,000097000080506123000382006140000050902034000006000970620009000008075041001400860
430,900028630300009004040050800500603109090004056708100200400060002070900005031002070
431,200130007605000400910062050070090008102046300003508200004000601860370009050000084
432,009003006800610050103004780010206004907000020000547300026080490430009000500061000
433,010092003070001008040006050850040200300005000026070930000800041234010060009630500
434,800070100094800305005030260109000600026041900070200000003100000280007006500924003
435,020001908000360700410589000000000631960070502203000000000090000175800260804050073
436,070800150102007030000062090240906000893050210006030070900481700700000500060300008
437,009807000001050046000361000020000830080900570074510209263000000010080305500704002
438,051000409007040360000502080890075100065308000370026900010003000009010072400080000
439,890701500003000760100052030402800100908000603060900080050189000001040020070506400
440,000000069700834002500006070370021008002500091100470300960000015003097004008260000
441,510008032702069004000000000600150080000604003970080005290005006080700901050043700
442,006503708080920006204008000060007391300200600000100540910005000007380050040010079
443,210500000060000941070098000084060305000000497037200100305001809020700000000400236
444,058107000010900604200003000960300700070050039804002005300000420006018057007406910
445,051079000308000000020008630006030140740900302000502009030001800900405000102760054
446,004708910001000200003102486800600370700009005102300090020084000600007000050900832
447,000047906009325000402980100007060080650000000091800703025401009030070200700600058
448,027306805409070000060120030005603008300040090001900260604500007000401900080002100
449,000205470400080000915006000007360810800020006020400930003000008150030090260907004
450,032080004000407860000051030006800921980010000000503070400060597078309400010000200
451,000065002089001000000380604306900050790100000045002760000070300004600290510004870
452,653000980200009053401000007840007160900020300005400002386040000000108004010092070
453,000207480203000150010000600609834701000070506470506009900403008025100000030080000
454,450700200003805019009060004007096001000100028026030000631070090070920040040000350
455,094080000000020853020100000060702100080013002000400097200870004805601070019005630
456,890005000010070060003020870700900200082060400049300058000004613400086920070003000
457,009600103740002000105000900020307080000020407890000026370010005600900000002538004
458,002700104800160350530890020000037860706005000050040900000006000900300078140080032
459,002085010000004306749000502500203400000040030100670900007000108650090000080152609
460,200509001810600700076020400060080009040063180000002030009007304300200070000001605
461,134060000000030080906705200000007600061320004705180000500290360403000050072000800
462,070045009300190408002000150001900076900860300040002000706058000250300000014009500
463,805034270000800051040600000600721008009000000001045703000003002953000800710409000
464,002037600530004002804600000600709850007150009009000040090320015041800700000001920
465,802050000903200400067401000108700004020093005000680190706000500050010263030009840
